Year (time)","Geographic Area Name (NAME)","Meaning of Survey Component (SVY_COMP_LABEL)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Meaning of Type of Government (GOVTYPE_LABEL)","Amount (AMOUNT_FORMATTED)"
"2022","Michigan","Government Organization","Total Federal, state, and local government units","State and Local","2,861"
"1942","Minnesota","Government Organization","Total Federal, state, and local government units","State and Local","10,398"
"1952","Minnesota","Government Organization","Total Federal, state, and local government units","State and Local","9,026"
"1957","Minnesota","Government Organization","Total Federal, state, and local government units","State and Local","6,298"
"1962","Minnesota","Government Organization","Total Federal, state, and local government units","State and Local","5,213"
"1967","Minnesota","Government Organization","Total Federal, state, and local government units","State and Local","4,185"
"1972","Minnesota","Government Organization","Total Federal, state, and local government units","State and Local","3,396"
"1977","Minnesota","Government Organization","Total Federal, state, and local government units","State and Local","3,438"
"1982","Minnesota","Government Organization","Total Federal, state, and local government units","State and Local","3,530"
"1987","Minnesota","Government Organization","Total Federal, state, and local government units","State and Local","3,556"
"1992","Minnesota","Government Organization","Total Federal, state, and local government units","State and Local","3,580"
"1997","Minnesota","Government Organization","Total Federal, state, and local government units","State and Local","3,502"
"2002","Minnesota","Government Organization","Total Federal, state, and local government units","State and Local","3,483"
"2007","Minnesota","Government Organization","Total Federal, state, and local government units","State and Local","3,527"
"2012","Minnesota","Government Organization","Total Federal, state, and local government units","State and Local","3,673"
"2017","Minnesota","Government Organization","Total Federal, state, and local government units","State and Local","3,644"
"2022","Minnesota","Government Organization","Total Federal, state, and local government units","State and Local","3,630"
"1942","Mississippi","Government Organization","Total Federal, state, and local government units","State and Local","1,792"
"1952","Mississippi","Government Organization","Total Federal, state, and local government units","State and Local","693"
"1957","Mississippi","Government Organization","Total Federal, state, and local government units","State and Local","672"
"1962","Mississippi","Government Organization","Total Federal, state, and local government units","State and Local","773"
"1967","Mississippi","Government Organization","Total Federal, state, and local government units","State and Local","784"
"1972","Mississippi","Government Organization","Total Federal, state, and local government units","State and Local","797"
"1977","Mississippi","Government Organization","Total Federal, state, and local government units","State and Local","836"
"1982","Mississippi","Government Organization","Total Federal, state, and local government units","State and Local","859"
"1987","Mississippi","Government Organization","Total Federal, state, and local government units","State and Local","854"
"1992","Mississippi","Government Organization","Total Federal, state, and local government units","State and Local","870"
"1997","Mississippi","Government Organization","Total Federal, state, and local government units","State and Local","937"
"2002","Mississippi","Government Organization","Total Federal, state, and local government units","State and Local","1,001"
"2007","Mississippi","Government Organization","Total Federal, state, and local government units","State and Local","1,001"
"2012","Mississippi","Government Organization","Total Federal, state, and local government units","State and Local","984"
"2017","Mississippi","Government Organization","Total Federal, state, and local government units","State and Local","970"
"2022","Mississippi","Government Organization","Total Federal, state, and local government units","State and Local","968"
"1942","Missouri","Government Organization","Total Federal, state, and local government units","State and Local","10,740"
"1952","Missouri","Government Organization","Total Federal, state, and local government units","State and Local","7,002"
"1957","Missouri","Government Organization","Total Federal, state, and local government units","State and Local","5,307"
"1962","Missouri","Government Organization","Total Federal, state, and local government units","State and Local","3,727"
"1967","Missouri","Government Organization","Total Federal, state, and local government units","State and Local","2,918"
"1972","Missouri","Government Organization","Total Federal, state, and local government units","State and Local","2,808"
"1977","Missouri","Government Organization","Total Federal, state, and local government units","State and Local","2,938"
"1982","Missouri","Government Organization","Total Federal, state, and local government units","State and Local","3,118"
"1987","Missouri","Government Organization","Total Federal, state, and local government units","State and Local","3,148"
"1992","Missouri","Government Organization","Total Federal, state, and local government units","State and Local","3,310"
"1997","Missouri","Government Organization","Total Federal, state, and local government units","State and Local","3,417"
"2002","Missouri","Government Organization","Total Federal, state, and local government units","State and Local","3,423"
"2007","Missouri","Government Organization","Total Federal, state, and local government units","State and Local","3,724"
"2012","Missouri","Government Organization","Total Federal, state, and local government units","State and Local","3,769"
"2017","Missouri","Government Organization","Total Federal, state, and local government units","State and Local","3,769"
"2022","Missouri","Government Organization","Total Federal, state, and local government units","State and Local","3,797"
"1942","Montana","Government Organization","Total Federal, state, and local government units","State and Local","2,175"
"1952","Montana","Government Organization","Total Federal, state, and local government units","State and Local","1,598"
"1957","Montana","Government Organization","Total Federal, state, and local government units","State and Local","1,503"
"1962","Montana","Government Organization","Total Federal, state, and local government units","State and Local","1,388"
"1967","Montana","Government Organization","Total Federal, state, and local government units","State and Local","1,104"
"1972","Montana","Government Organization","Total Federal, state, and local government units","State and Local","993"
"1977","Montana","Government Organization","Total Federal, state, and local government units","State and Local","959"
"1982","Montana","Government Organization","Total Federal, state, and local government units","State and Local","1,030"
"1987","Montana","Government Organization","Total Federal, state, and local government units","State and Local","1,244"
"1992","Montana","Government Organization","Total Federal, state, and local government units","State and Local","1,276"
"1997","Montana","Government Organization","Total Federal, state, and local government units","State and Local","1,145"
"2002","Montana","Government Organization","Total Federal, state, and local government units","State and Local","1,128"
"2007","Montana","Government Organization","Total Federal, state, and local government units","State and Local","1,274"
"2012","Montana","Government Organization","Total Federal, state, and local government units","State and Local","1,266"
"2017","Montana","Government Organization","Total Federal, state, and local government units","State and Local","1,227"
"2022","Montana","Government Organization","Total Federal, state, and local government units","State and Local","1,229"
"1942","Nebraska","Government Organization","Total Federal, state, and local government units","State and Local","8,307"
"1952","Nebraska","Government Organization","Total Federal, state, and local government units","State and Local","7,981"
"1957","Nebraska","Government Organization","Total Federal, state, and local government units","State and Local","6,658"
"1962","Nebraska","Government Organization","Total Federal, state, and local government units","State and Local","5,125"
"1967","Nebraska","Government Organization","Total Federal, state, and local government units","State and Local","4,392"
"1972","Nebraska","Government Organization","Total Federal, state, and local government units","State and Local","3,562"
"1977","Nebraska","Government Organization","Total Federal, state, and local government units","State and Local","3,486"
"1982","Nebraska","Government Organization","Total Federal, state, and local government units","State and Local","3,325"
"1987","Nebraska","Government Organization","Total Federal, state, and local government units","State and Local","3,153"
"1992","Nebraska","Government Organization","Total Federal, state, and local government units","State and Local","2,924"
"1997","Nebraska","Government Organization","Total Federal, state, and local government units","State and Local","2,895"
"2002","Nebraska","Government Organization","Total Federal, state, and local government units","State and Local","2,792"
"2007","Nebraska","Government Organization","Total Federal, state, and local government units","State and Local","2,660"
"2012","Nebraska","Government Organization","Total Federal, state, and local government units","State and Local","2,582"
"2017","Nebraska","Government Organization","Total Federal, state, and local government units","State and Local","2,539"
"2022","Nebraska","Government Organization","Total Federal, state, and local government units","State and Local","2,542"
"1942","Nevada","Government Organization","Total Federal, state, and local government units","State and Local","163"
"1952","Nevada","Government Organization","Total Federal, state, and local government units","State and Local","243"
"1957","Nevada","Government Organization","Total Federal, state, and local government units","State and Local","110"
"1962","Nevada","Government Organization","Total Federal, state, and local government units","State and Local","137"
"1967","Nevada","Government Organization","Total Federal, state, and local government units","State and Local","147"
"1972","Nevada","Government Organization","Total Federal, state, and local government units","State and Local","185"
"1977","Nevada","Government Organization","Total Federal, state, and local government units","State and Local","183"
"1982","Nevada","Government Organization","Total Federal, state, and local government units","State and Local","185"
"1987","Nevada","Government Organization","Total Federal, state, and local government units","State and Local","198"
"1992","Nevada","Government Organization","Total Federal, state, and local government units","State and Local","208"
"1997","Nevada","Government Organization","Total Federal, state, and local government units","State and Local","206"
"2002","Nevada","Government Organization","Total Federal, state, and local government units","State and Local","211"
"2007","Nevada","Government Organization","Total Federal, state, and local government units","State and Local","199"
"2012","Nevada","Government Organization","Total Federal, state, and local government units","State and Local","192"
"2017","Nevada","Government Organization","Total Federal, state, and local government units","State and Local","190"
"2022","Nevada","Government Organization","Total Federal, state, and local government units","State and Local","188"
"1942","New Hampshire","Government Organization","Total Federal, state, and local government units","State and Local","546"
"1952","New Hampshire","Government Organization","Total Federal, state, and local government units","State and Local","551"
"1957","New Hampshire","Government Organization","Total Federal, state, and local government units","State and Local","545"
"1962","New Hampshire","Government Organization","Total Federal, state, and local government units","State and Local","551"
"1967","New Hampshire","Government Organization","Total Federal, state, and local government units","State and Local","516"
"1972","New Hampshire","Government Organization","Total Federal, state, and local government units","State and Local","500"
"1977","New Hampshire","Government Organization","Total Federal, state, and local government units","State and Local","507"
"1982","New Hampshire","Government Organization","Total Federal, state, and local government units","State and Local","518"
"1987","New Hampshire","Government Organization","Total Federal, state, and local government units","State and Local","525"
"1992","New Hampshire","Government Organization","Total Federal, state, and local government units","State and Local","528"
"1997","New Hampshire","Government Organization","Total Federal, state, and local government units","State and Local","576"
"2002","New Hampshire","Government Organization","Total Federal, state, and local government units","State and Local","560"
"2007","New Hampshire","Government Organization","Total Federal, state, and local government units","State and Local","546"
"2012","New Hampshire","Government Organization","Total Federal, state, and local government units","State and Local","542"
"2017","New Hampshire","Government Organization","Total Federal, state, and local government units","State and Local","542"
"2022","New Hampshire","Government Organization","Total Federal, state, and local government units","State and Local","539"
"1942","New Jersey","Government Organization","Total Federal, state, and local government units","State and Local","1,143"
"1952","New Jersey","Government Organization","Total Federal, state, and local government units","State and Local","1,151"
"1957","New Jersey","Government Organization","Total Federal, state, and local government units","State and Local","1,217"
"1962","New Jersey","Government Organization","Total Federal, state, and local government units","State and Local","1,396"
"1967","New Jersey","Government Organization","Total Federal, state, and local government units","State and Local","1,422"
"1972","New Jersey","Government Organization","Total Federal, state, and local government units","State and Local","1,457"
"1977","New Jersey","Government Organization","Total Federal, state, and local government units","State and Local","1,518"
"1982","New Jersey","Government Organization","Total Federal, state, and local government units","State and Local","1,592"
"1987","New Jersey","Government Organization","Total Federal, state, and local government units","State and Local","1,626"
"1992","New Jersey","Government Organization","Total Federal, state, and local government units","State and Local","1,513"
"1997","New Jersey","Government Organization","Total Federal, state, and local government units","State and Local","1,422"
"2002","New Jersey","Government Organization","Total Federal, state, and local government units","State and Local","1,413"
"2007","New Jersey","Government Organization","Total Federal, state, and local government units","State and Local","1,384"
"2012","New Jersey","Government Organization","Total Federal, state, and local government units","State and Local","1,345"
"2017","New Jersey","Government Organization","Total Federal, state, and local government units","State and Local","1,339"
"2022","New Jersey","Government Organization","Total Federal, state, and local government units","State and Local","1,329"
"1942","New Mexico","Government Organization","Total Federal, state, and local government units","State and Local","225"
"1952","New Mexico","Government Organization","Total Federal, state, and local government units","State and Local","289"
"1957","New Mexico","Government Organization","Total Federal, state, and local government units","State and Local","317"
"1962","New Mexico","Government Organization","Total Federal, state, and local government units","State and Local","306"
"1967","New Mexico","Government Organization","Total Federal, state, and local government units","State and Local","308"
"1972","New Mexico","Government Organization","Total Federal, state, and local government units","State and Local","310"
"1977","New Mexico","Government Organization","Total Federal, state, and local government units","State and Local","314"
"1982","New Mexico","Government Organization","Total Federal, state, and local government units","State and Local","320"
"1987","New Mexico","Government Organization","Total Federal, state, and local government units","State and Local","332"
"1992","New Mexico","Government Organization","Total Federal, state, and local government units","State and Local","342"
"1997","New Mexico","Government Organization","Total Federal, state, and local government units","State and Local","882"
"2002","New Mexico","Government Organization","Total Federal, state, and local government units","State and Local","859"
"2007","New Mexico","Government Organization","Total Federal, state, and local government units","State and Local","864"
"2012","New Mexico","Government Organization","Total Federal, state, and local government units","State and Local","864"
"2017","New Mexico","Government Organization","Total Federal, state, and local government units","State and Local","1,014"
"2022","New Mexico","Government Organization","Total Federal, state, and local government units","State and Local","1,004"
"1942","New York","Government Organization","Total Federal, state, and local government units","State and Local","8,339"
"1952","New York","Government Organization","Total Federal, state, and local government units","State and Local","5,483"
"1957","New York","Government Organization","Total Federal, state, and local government units","State and Local","4,189"
"1962","New York","Government Organization","Total Federal, state, and local government units","State and Local","3,803"
"1967","New York","Government Organization","Total Federal, state, and local government units","State and Local","3,486"
"1972","New York","Government Organization","Total Federal, state, and local government units","State and Local","3,307"
"1977","New York","Government Organization","Total Federal, state, and local government units","State and Local","3,310"
"1982","New York","Government Organization","Total Federal, state, and local government units","State and Local","3,250"
"1987","New York","Government Organization","Total Federal, state, and local government units","State and Local","3,303"
"1992","New York","Government Organization","Total Federal, state, and local government units","State and Local","3,299"
"1997","New York","Government Organization","Total Federal, state, and local government units","State and Local","3,414"
"2002","New York","Government Organization","Total Federal, state, and local government units","State and Local","3,421"
"2007","New York","Government Organization","Total Federal, state, and local government units","State and Local","3,404"
"2012","New York","Government Organization","Total Federal, state, and local government units","State and Local","3,454"
"2017","New York","Government Organization","Total Federal, state, and local government units","State and Local","3,451"
"2022","New York","Government Organization","Total Federal, state, and local government units","State and Local","3,448"
"1942","North Carolina","Government Organization","Total Federal, state, and local government units","State and Local","603"
"1952","North Carolina","Government Organization","Total Federal, state, and local government units","State and Local","608"
"1957","North Carolina","Government Organization","Total Federal, state, and local government units","State and Local","624"
"1962","North Carolina","Government Organization","Total Federal, state, and local government units","State and Local","676"
"1967","North Carolina","Government Organization","Total Federal, state, and local government units","State and Local","753"
"1972","North Carolina","Government Organization","Total Federal, state, and local government units","State and Local","803"
"1977","North Carolina","Government Organization","Total Federal, state, and local government units","State and Local","875"
"1982","North Carolina","Government Organization","Total Federal, state, and local government units","State and Local","906"
"1987","North Carolina","Government Organization","Total Federal, state, and local government units","State and Local","917"
"1992","North Carolina","Government Organization","Total Federal, state, and local government units","State and Local","938"
"1997","North Carolina","Government Organization","Total Federal, state, and local government units","State and Local","953"
"2002","North Carolina","Government Organization","Total Federal, state, and local government units","State and Local","961"
"2007","North Carolina","Government Organization","Total Federal, state, and local government units","State and Local","964"
"2012","North Carolina","Government Organization","Total Federal, state, and local government units","State and Local","974"
"2017","North Carolina","Government Organization","Total Federal, state, and local government units","State and Local","971"
"2022","North Carolina","Government Organization","Total Federal, state, and local government units","State and Local","966"
"1942","North Dakota","Government Organization","Total Federal, state, and local government units","State and Local","4,066"
"1952","North Dakota","Government Organization","Total Federal, state, and local government units","State and Local","3,968"
"1957","North Dakota","Government Organization","Total Federal, state, and local government units","State and Local","3,968"
"1962","North Dakota","Government Organization","Total Federal, state, and local government units","State and Local","3,029"
"1967","North Dakota","Government Organization","Total Federal, state, and local government units","State and Local","2,758"
"1972","North Dakota","Government Organization","Total Federal, state, and local government units","State and Local","2,727"
"1977","North Dakota","Government Organization","Total Federal, state, and local government units","State and Local","2,708"
"1982","North Dakota","Government Organization","Total Federal, state, and local government units","State and Local","2,796"
"1987","North Dakota","Government Organization","Total Federal, state, and local government units","State and Local","2,788"
"1992","North Dakota","Government Organization","Total Federal, state, and local government units","State and Local","2,765"
"1997","North Dakota","Government Organization","Total Federal, state, and local government units","State and Local","2,759"
"2002","North Dakota","Government Organization","Total Federal, state, and local government units","State and Local","2,736"
"2007","North Dakota","Government Organization","Total Federal, state, and local government units","State and Local","2,700"
"2012","North Dakota","Government Organization","Total Federal, state, and local government units","State and Local","2,686"
"2017","North Dakota","Government Organization","Total Federal, state, and local government units","State and Local","2,665"
"2022","North Dakota","Government Organization","Total Federal, state, and local government units","State and Local","2,571"
"1942","Ohio","Government Organization","Total Federal, state, and local government units","State and Local","4,021"
"1952","Ohio","Government Organization","Total Federal, state, and local government units","State and Local","3,936"
"1957","Ohio","Government Organization","Total Federal, state, and local government units","State and Local","3,667"
"1962","Ohio","Government Organization","Total Federal, state, and local government units","State and Local","3,359"
"1967","Ohio","Government Organization","Total Federal, state, and local government units","State and Local","3,284"
"1972","Ohio","Government Organization","Total Federal, state, and local government units","State and Local","3,260"
"1977","Ohio","Government Organization","Total Federal, state, and local government units","State and Local","3,286"
"1982","Ohio","Government Organization","Total Federal, state, and local government units","State and Local","3,394"
"1987","Ohio","Government Organization","Total Federal, state, and local government units","State and Local","3,378"
"1992","Ohio","Government Organization","Total Federal, state, and local government units","State and Local","3,524"
"1997","Ohio","Government Organization","Total Federal, state, and local government units","State and Local","3,598"
"2002","Ohio","Government Organization","Total Federal, state, and local government units","State and Local","3,637"
"2007","Ohio","Government Organization","Total Federal, state, and local government units","State and Local","3,703"
"2012","Ohio","Government Organization","Total Federal, state, and local government units","State and Local","3,843"
"2017","Ohio","Government Organization","Total Federal, state, and local government units","State and Local","3,898"
"2022","Ohio","Government Organization","Total Federal, state, and local government units","State and Local","3,940"
"1942","Oklahoma","Government Organization","Total Federal, state, and local government units","State and Local","5,100"
"1952","Oklahoma","Government Organization","Total Federal, state, and local government units","State and Local","2,771"
"1957","Oklahoma","Government Organization","Total Federal, state, and local government units","State and Local","2,332"
"1962","Oklahoma","Government Organization","Total Federal, state, and local government units","State and Local","1,960"
"1967","Oklahoma","Government Organization","Total Federal, state, and local government units","State and Local","1,774"
"1972","Oklahoma","Government Organization","Total Federal, state, and local government units","State and Local","1,684"
"1977","Oklahoma","Government Organization","Total Federal, state, and local government units","State and Local","1,676"
"1982","Oklahoma","Government Organization","Total Federal, state, and local government units","State and Local","1,703"
"1987","Oklahoma","Government Organization","Total Federal, state, and local government units","State and Local","1,803"
"1992","Oklahoma","Government Organization","Total Federal, state, and local government units","State and Local","1,795"
"1997","Oklahoma","Government Organization","Total Federal, state, and local government units","State and Local","1,800"
"2002","Oklahoma","Government Organization","Total Federal, state, and local government units","State and Local","1,799"
"2007","Oklahoma","Government Organization","Total Federal, state, and local government units","State and Local","1,881"
"2012","Oklahoma","Government Organization","Total Federal, state, and local government units","State and Local","1,853"
"2017","Oklahoma","Government Organization","Total Federal, state, and local government units","State and Local","1,831"
"2022","Oklahoma","Government Organization","Total Federal, state, and local government units","State and Local","1,841"
"1942","Oregon","Government Organization","Total Federal, state, and local government units","State and Local","2,332"
"1952","Oregon","Government Organization","Total Federal, state, and local government units","State and Local","1,723"
"1957","Oregon","Government Organization","Total Federal, state, and local government units","State and Local","1,526"
"1962","Oregon","Government Organization","Total Federal, state, and local government units","State and Local","1,470"
"1967","Oregon","Government Organization","Total Federal, state, and local government units","State and Local","1,457"
"1972","Oregon","Government Organization","Total Federal, state, and local government units","State and Local","1,447"
"1977","Oregon","Government Organization","Total Federal, state, and local government units","State and Local","1,448"
"1982","Oregon","Government Organization","Total Federal, state, and local government units","State and Local","1,455"
"1987","Oregon","Government Organization","Total Federal, state, and local government units","State and Local","1,503"
"1992","Oregon","Government Organization","Total Federal, state, and local government units","State and Local","1,451"
"1997","Oregon","Government Organization","Total Federal, state, and local government units","State and Local","1,494"
"2002","Oregon","Government Organization","Total Federal, state, and local government units","State and Local","1,440"
"2007","Oregon","Government Organization","Total Federal, state, and local government units","State and Local","1,547"
"2012","Oregon","Government Organization","Total Federal, state, and local government units","State and Local","1,543"
"2017","Oregon","Government Organization","Total Federal, state, and local government units","State and Local","1,511"
"2022","Oregon","Government Organization","Total Federal, state, and local government units","State and Local","1,529"
"1942","Pennsylvania","Government Organization","Total Federal, state, and local government units","State and Local","5,263"
"1952","Pennsylvania","Government Organization","Total Federal, state, and local government units","State and Local","5,156"
"1957","Pennsylvania","Government Organization","Total Federal, state, and local government units","State and Local","5,073"
"1962","Pennsylvania","Government Organization","Total Federal, state, and local government units","State and Local","6,202"
"1967","Pennsylvania","Government Organization","Total Federal, state, and local government units","State and Local","4,999"
"1972","Pennsylvania","Government Organization","Total Federal, state, and local government units","State and Local","4,936"
"1977","Pennsylvania","Government Organization","Total Federal, state, and local government units","State and Local","5,247"
"1982","Pennsylvania","Government Organization","Total Federal, state, and local government units","State and Local","5,199"
"1987","Pennsylvania","Government Organization","Total Federal, state, and local government units","State and Local","4,957"
"1992","Pennsylvania","Government Organization","Total Federal, state, and local government units","State and Local","5,159"
"1997","Pennsylvania","Government Organization","Total Federal, state, and local government units","State and Local","5,071"
"2002","Pennsylvania","Government Organization","Total Federal, state, and local government units","State and Local","5,032"
"2007","Pennsylvania","Government Organization","Total Federal, state, and local government units","State and Local","4,872"
"2012","Pennsylvania","Government Organization","Total Federal, state, and local government units","State and Local","4,898"
"2017","Pennsylvania","Government Organization","Total Federal, state, and local government units","State and Local","4,831"
"2022","Pennsylvania","Government Organization","Total Federal, state, and local government units","State and Local","4,852"
"1942","Rhode Island","Government Organization","Total Federal, state, and local government units","State and Local","54"
"1952","Rhode Island","Government Organization","Total Federal, state, and local government units","State and Local","89"
"1957","Rhode Island","Government Organization","Total Federal, state, and local government units","State and Local","91"
"1962","Rhode Island","Government Organization","Total Federal, state, and local government units","State and Local","98"
"1967","Rhode Island","Government Organization","Total Federal, state, and local government units","State and Local","110"
"1972","Rhode Island","Government Organization","Total Federal, state, and local government units","State and Local","116"
"1977","Rhode Island","Government Organization","Total Federal, state, and local government units","State and Local","121"
"1982","Rhode Island","Government Organization","Total Federal, state, and local government units","State and Local","123"
"1987","Rhode Island","Government Organization","Total Federal, state, and local government units","State and Local","126"
"1992","Rhode Island","Government Organization","Total Federal, state, and local government units","State and Local","126"
"1997","Rhode Island","Government Organization","Total Federal, state, and local government units","State and Local","120"
"2002","Rhode Island","Government Organization","Total Federal, state, and local government units","State and Local","119"
"2007","Rhode Island","Government Organization","Total Federal, state, and local government units","State and Local","135"
"2012","Rhode Island","Government Organization","Total Federal, state, and local government units","State and Local","134"
"2017","Rhode Island","Government Organization","Total Federal, state, and local government units","State and Local","130"
"2022","Rhode Island","Government Organization","Total Federal, state, and local government units","State and Local","128"
"1942","South Carolina","Government Organization","Total Federal, state, and local government units","State and Local","2,057"
"1952","South Carolina","Government Organization","Total Federal, state, and local government units","State and Local","413"
"1957","South Carolina","Government Organization","Total Federal, state, and local government units","State and Local","503"
"1962","South Carolina","Government Organization","Total Federal, state, and local government units","State and Local","553"
"1967","South Carolina","Government Organization","Total Federal, state, and local government units","State and Local","562"
"1972","South Carolina","Government Organization","Total Federal, state, and local government units","State and Local","584"
"1977","South Carolina","Government Organization","Total Federal, state, and local government units","State and Local","586"
"1982","South Carolina","Government Organization","Total Federal, state, and local government units","State and Local","646"
"1987","South Carolina","Government Organization","Total Federal, state, and local government units","State and Local","708"
"1992","South Carolina","Government Organization","Total Federal, state, and local government units","State and Local","698"
"1997","South Carolina","Government Organization","Total Federal, state, and local government units","State and Local","717"
"2002","South Carolina","Government Organization","Total Federal, state, and local government units","State and Local","702"
"2007","South Carolina","Government Organization","Total Federal, state, and local government units","State and Local","699"
"2012","South Carolina","Government Organization","Total Federal, state, and local government units","State and Local","679"
"2017","South Carolina","Government Organization","Total Federal, state, and local government units","State and Local","672"
"2022","South Carolina","Government Organization","Total Federal, state, and local government units","State and Local","667"
"1942","South Dakota","Government Organization","Total Federal, state, and local government units","State and Local","4,919"
"1952","South Dakota","Government Organization","Total Federal, state, and local government units","State and Local","4,917"
"1957","South Dakota","Government Organization","Total Federal, state, and local government units","State and Local","4,808"
"1962","South Dakota","Government Organization","Total Federal, state, and local government units","State and Local","4,464"
"1967","South Dakota","Government Organization","Total Federal, state, and local government units","State and Local","3,511"
"1972","South Dakota","Government Organization","Total Federal, state, and local government units","State and Local","1,771"
"1977","South Dakota","Government Organization","Total Federal, state, and local government units","State and Local","1,728"
"1982","South Dakota","Government Organization","Total Federal, state, and local government units","State and Local","1,768"
"1987","South Dakota","Government Organization","Total Federal, state, and local government units","State and Local","1,763"
"1992","South Dakota","Government Organization","Total Federal, state, and local government units","State and Local","1,786"
"1997","South Dakota","Government Organization","Total Federal, state, and local government units","State and Local","1,811"
"2002","South Dakota","Government Organization","Total Federal, state, and local government units","State and Local","1,867"
"2007","South Dakota","Government Organization","Total Federal, state, and local government units","State and Local","1,984"
"2012","South Dakota","Government Organization","Total Federal, state, and local government units","State and Local","1,984"
"2017","South Dakota","Government Organization","Total Federal, state, and local government units","State and Local","1,917"
"2022","South Dakota","Government Organization","Total Federal, state, and local government units","State and Local","1,901"
"1942","Tennessee","Government Organization","Total Federal, state, and local government units","State and Local","328"
"1952","Tennessee","Government Organization","Total Federal, state, and local government units","State and Local","435"
"1957","Tennessee","Government Organization","Total Federal, state, and local government units","State and Local","560"
"1962","Tennessee","Government Organization","Total Federal, state, and local government units","State and Local","658"
"1967","Tennessee","Government Organization","Total Federal, state, and local government units","State and Local","792"
"1972","Tennessee","Government Organization","Total Federal, state, and local government units","State and Local","882"
"1977","Tennessee","Government Organization","Total Federal, state, and local government units","State and Local","906"
"1982","Tennessee","Government Organization","Total Federal, state, and local government units","State and Local","914"
"1987","Tennessee","Government Organization","Total Federal, state, and local government units","State and Local","905"
"1992","Tennessee","Government Organization","Total Federal, state, and local government units","State and Local","924"
"1997","Tennessee","Government Organization","Total Federal, state, and local government units","State and Local","941"
"2002","Tennessee","Government Organization","Total Federal, state, and local government units","State and Local","931"
"2007","Tennessee","Government Organization","Total Federal, state, and local government units","State and Local","929"
"2012","Tennessee","Government Organization","Total Federal, state, and local government units","State and Local","917"
"2017","Tennessee","Government Organization","Total Federal, state, and local government units","State and Local","907"
"2022","Tennessee","Government Organization","Total Federal, state, and local government units","State and Local","903"
"1942","Texas","Government Organization","Total Federal, state, and local government units","State and Local","7,360"
"1952","Texas","Government Organization","Total Federal, state, and local government units","State and Local","3,963"
"1957","Texas","Government Organization","Total Federal, state, and local government units","State and Local","3,485"
"1962","Texas","Government Organization","Total Federal, state, and local government units","State and Local","3,328"
"1967","Texas","Government Organization","Total Federal, state, and local government units","State and Local","3,447"
"1972","Texas","Government Organization","Total Federal, state, and local government units","State and Local","3,625"
"1977","Texas","Government Organization","Total Federal, state, and local government units","State and Local","3,884"
"1982","Texas","Government Organization","Total Federal, state, and local government units","State and Local","4,181"
"1987","Texas","Government Organization","Total Federal, state, and local government units","State and Local","4,416"
"1992","Texas","Government Organization","Total Federal, state, and local government units","State and Local","4,792"
"1997","Texas","Government Organization","Total Federal, state, and local government units","State and Local","4,701"
"2002","Texas","Government Organization","Total Federal, state, and local government units","State and Local","4,785"
"2007","Texas","Government Organization","Total Federal, state, and local government units","State and Local","4,836"
"2012","Texas","Government Organization","Total Federal, state, and local government units","State and Local","5,148"
"2017","Texas","Government Organization","Total Federal, state, and local government units","State and Local","5,344"
"2022","Texas","Government Organization","Total Federal, state, and local government units","State and Local","5,534"
"1942","Utah","Government Organization","Total Federal, state, and local government units","State and Local","303"
"1952","Utah","Government Organization","Total Federal, state, and local government units","State and Local","385"
"1957","Utah","Government Organization","Total Federal, state, and local government units","State and Local","398"
"1962","Utah","Government Organization","Total Federal, state, and local government units","State and Local","424"
"1967","Utah","Government Organization","Total Federal, state, and local government units","State and Local","446"
"1972","Utah","Government Organization","Total Federal, state, and local government units","State and Local","460"
"1977","Utah","Government Organization","Total Federal, state, and local government units","State and Local","493"
"1982","Utah","Government Organization","Total Federal, state, and local government units","State and Local","505"
"1987","Utah","Government Organization","Total Federal, state, and local government units","State and Local","531"
"1992","Utah","Government Organization","Total Federal, state, and local government units","State and Local","627"
"1997","Utah","Government Organization","Total Federal, state, and local government units","State and Local","684"
"2002","Utah","Government Organization","Total Federal, state, and local government units","State and Local","606"
"2007","Utah","Government Organization","Total Federal, state, and local government units","State and Local","600"
"2012","Utah","Government Organization","Total Federal, state, and local government units","State and Local","623"
"2017","Utah","Government Organization","Total Federal, state, and local government units","State and Local","620"
"2022","Utah","Government Organization","Total Federal, state, and local government units","State and Local","633"
"1942","Vermont","Government Organization","Total Federal, state, and local government units","State and Local","398"
"1952","Vermont","Government Organization","Total Federal, state, and local government units","State and Local","414"
"1957","Vermont","Government Organization","Total Federal, state, and local government units","State and Local","409"
"1962","Vermont","Government Organization","Total Federal, state, and local government units","State and Local","425"
"1967","Vermont","Government Organization","Total Federal, state, and local government units","State and Local","657"
"1972","Vermont","Government Organization","Total Federal, state, and local government units","State and Local","659"
"1977","Vermont","Government Organization","Total Federal, state, and local government units","State and Local","648"
"1982","Vermont","Government Organization","Total Federal, state, and local government units","State and Local","665"
"1987","Vermont","Government Organization","Total Federal, state, and local government units","State and Local","674"
"1992","Vermont","Government Organization","Total Federal, state, and local government units","State and Local","682"
"1997","Vermont","Government Organization","Total Federal, state, and local government units","State and Local","692"
"2002","Vermont","Government Organization","Total Federal, state, and local government units","State and Local","734"
"2007","Vermont","Government Organization","Total Federal, state, and local government units","State and Local","734"
"2012","Vermont","Government Organization","Total Federal, state, and local government units","State and Local","739"
