Year (time)","Geographic Area Name (NAME)","Meaning of Survey Component (SVY_COMP_LABEL)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Meaning of Type of Government (GOVTYPE_LABEL)","Amount (AMOUNT_FORMATTED)"
"1987","California","Government Organization","Total Federal, state, and local government units","State and Local","4,332"
"1992","California","Government Organization","Total Federal, state, and local government units","State and Local","4,393"
"1997","California","Government Organization","Total Federal, state, and local government units","State and Local","4,608"
"2002","California","Government Organization","Total Federal, state, and local government units","State and Local","4,410"
"2007","California","Government Organization","Total Federal, state, and local government units","State and Local","4,345"
"2012","California","Government Organization","Total Federal, state, and local government units","State and Local","4,426"
"2017","California","Government Organization","Total Federal, state, and local government units","State and Local","4,445"
"2022","California","Government Organization","Total Federal, state, and local government units","State and Local","4,495"
"1942","Colorado","Government Organization","Total Federal, state, and local government units","State and Local","2,358"
"1952","Colorado","Government Organization","Total Federal, state, and local government units","State and Local","1,953"
"1957","Colorado","Government Organization","Total Federal, state, and local government units","State and Local","1,666"
"1962","Colorado","Government Organization","Total Federal, state, and local government units","State and Local","1,194"
"1967","Colorado","Government Organization","Total Federal, state, and local government units","State and Local","1,253"
"1972","Colorado","Government Organization","Total Federal, state, and local government units","State and Local","1,320"
"1977","Colorado","Government Organization","Total Federal, state, and local government units","State and Local","1,460"
"1982","Colorado","Government Organization","Total Federal, state, and local government units","State and Local","1,545"
"1987","Colorado","Government Organization","Total Federal, state, and local government units","State and Local","1,594"
"1992","Colorado","Government Organization","Total Federal, state, and local government units","State and Local","1,761"
"1997","Colorado","Government Organization","Total Federal, state, and local government units","State and Local","1,870"
"2002","Colorado","Government Organization","Total Federal, state, and local government units","State and Local","1,929"
"2007","Colorado","Government Organization","Total Federal, state, and local government units","State and Local","2,417"
"2012","Colorado","Government Organization","Total Federal, state, and local government units","State and Local","2,906"
"2017","Colorado","Government Organization","Total Federal, state, and local government units","State and Local","3,142"
"2022","Colorado","Government Organization","Total Federal, state, and local government units","State and Local","3,716"
"1942","Connecticut","Government Organization","Total Federal, state, and local government units","State and Local","349"
"1952","Connecticut","Government Organization","Total Federal, state, and local government units","State and Local","363"
"1957","Connecticut","Government Organization","Total Federal, state, and local government units","State and Local","384"
"1962","Connecticut","Government Organization","Total Federal, state, and local government units","State and Local","399"
"1967","Connecticut","Government Organization","Total Federal, state, and local government units","State and Local","414"
"1972","Connecticut","Government Organization","Total Federal, state, and local government units","State and Local","429"
"1977","Connecticut","Government Organization","Total Federal, state, and local government units","State and Local","435"
"1982","Connecticut","Government Organization","Total Federal, state, and local government units","State and Local","480"
"1987","Connecticut","Government Organization","Total Federal, state, and local government units","State and Local","478"
"1992","Connecticut","Government Organization","Total Federal, state, and local government units","State and Local","564"
"1997","Connecticut","Government Organization","Total Federal, state, and local government units","State and Local","584"
"2002","Connecticut","Government Organization","Total Federal, state, and local government units","State and Local","581"
"2007","Connecticut","Government Organization","Total Federal, state, and local government units","State and Local","650"
"2012","Connecticut","Government Organization","Total Federal, state, and local government units","State and Local","644"
"2017","Connecticut","Government Organization","Total Federal, state, and local government units","State and Local","626"
"2022","Connecticut","Government Organization","Total Federal, state, and local government units","State and Local","630"
"1942","Delaware","Government Organization","Total Federal, state, and local government units","State and Local","70"
"1952","Delaware","Government Organization","Total Federal, state, and local government units","State and Local","108"
"1957","Delaware","Government Organization","Total Federal, state, and local government units","State and Local","132"
"1962","Delaware","Government Organization","Total Federal, state, and local government units","State and Local","208"
"1967","Delaware","Government Organization","Total Federal, state, and local government units","State and Local","171"
"1972","Delaware","Government Organization","Total Federal, state, and local government units","State and Local","159"
"1977","Delaware","Government Organization","Total Federal, state, and local government units","State and Local","211"
"1982","Delaware","Government Organization","Total Federal, state, and local government units","State and Local","218"
"1987","Delaware","Government Organization","Total Federal, state, and local government units","State and Local","282"
"1992","Delaware","Government Organization","Total Federal, state, and local government units","State and Local","276"
"1997","Delaware","Government Organization","Total Federal, state, and local government units","State and Local","337"
"2002","Delaware","Government Organization","Total Federal, state, and local government units","State and Local","340"
"2007","Delaware","Government Organization","Total Federal, state, and local government units","State and Local","339"
"2012","Delaware","Government Organization","Total Federal, state, and local government units","State and Local","340"
"2017","Delaware","Government Organization","Total Federal, state, and local government units","State and Local","335"
"2022","Delaware","Government Organization","Total Federal, state, and local government units","State and Local","335"
"1942","District of Columbia","Government Organization","Total Federal, state, and local government units","State and Local","2"
"1952","District of Columbia","Government Organization","Total Federal, state, and local government units","State and Local","2"
"1957","District of Columbia","Government Organization","Total Federal, state, and local government units","State and Local","2"
"1962","District of Columbia","Government Organization","Total Federal, state, and local government units","State and Local","2"
"1967","District of Columbia","Government Organization","Total Federal, state, and local government units","State and Local","2"
"1972","District of Columbia","Government Organization","Total Federal, state, and local government units","State and Local","3"
"1977","District of Columbia","Government Organization","Total Federal, state, and local government units","State and Local","2"
"1982","District of Columbia","Government Organization","Total Federal, state, and local government units","State and Local","2"
"1987","District of Columbia","Government Organization","Total Federal, state, and local government units","State and Local","2"
"1992","District of Columbia","Government Organization","Total Federal, state, and local government units","State and Local","2"
"1997","District of Columbia","Government Organization","Total Federal, state, and local government units","State and Local","2"
"2002","District of Columbia","Government Organization","Total Federal, state, and local government units","State and Local","2"
"2007","District of Columbia","Government Organization","Total Federal, state, and local government units","State and Local","2"
"2012","District of Columbia","Government Organization","Total Federal, state, and local government units","State and Local","2"
"2017","District of Columbia","Government Organization","Total Federal, state, and local government units","State and Local","2"
"2022","District of Columbia","Government Organization","Total Federal, state, and local government units","State and Local","2"
"1942","Florida","Government Organization","Total Federal, state, and local government units","State and Local","503"
"1952","Florida","Government Organization","Total Federal, state, and local government units","State and Local","617"
"1957","Florida","Government Organization","Total Federal, state, and local government units","State and Local","672"
"1962","Florida","Government Organization","Total Federal, state, and local government units","State and Local","765"
"1967","Florida","Government Organization","Total Federal, state, and local government units","State and Local","828"
"1972","Florida","Government Organization","Total Federal, state, and local government units","State and Local","866"
"1977","Florida","Government Organization","Total Federal, state, and local government units","State and Local","912"
"1982","Florida","Government Organization","Total Federal, state, and local government units","State and Local","970"
"1987","Florida","Government Organization","Total Federal, state, and local government units","State and Local","966"
"1992","Florida","Government Organization","Total Federal, state, and local government units","State and Local","1,014"
"1997","Florida","Government Organization","Total Federal, state, and local government units","State and Local","1,082"
"2002","Florida","Government Organization","Total Federal, state, and local government units","State and Local","1,192"
"2007","Florida","Government Organization","Total Federal, state, and local government units","State and Local","1,624"
"2012","Florida","Government Organization","Total Federal, state, and local government units","State and Local","1,651"
"2017","Florida","Government Organization","Total Federal, state, and local government units","State and Local","1,713"
"2022","Florida","Government Organization","Total Federal, state, and local government units","State and Local","1,948"
"1942","Georgia","Government Organization","Total Federal, state, and local government units","State and Local","946"
"1952","Georgia","Government Organization","Total Federal, state, and local government units","State and Local","976"
"1957","Georgia","Government Organization","Total Federal, state, and local government units","State and Local","1,121"
"1962","Georgia","Government Organization","Total Federal, state, and local government units","State and Local","1,219"
"1967","Georgia","Government Organization","Total Federal, state, and local government units","State and Local","1,204"
"1972","Georgia","Government Organization","Total Federal, state, and local government units","State and Local","1,244"
"1977","Georgia","Government Organization","Total Federal, state, and local government units","State and Local","1,264"
"1982","Georgia","Government Organization","Total Federal, state, and local government units","State and Local","1,269"
"1987","Georgia","Government Organization","Total Federal, state, and local government units","State and Local","1,287"
"1992","Georgia","Government Organization","Total Federal, state, and local government units","State and Local","1,298"
"1997","Georgia","Government Organization","Total Federal, state, and local government units","State and Local","1,345"
"2002","Georgia","Government Organization","Total Federal, state, and local government units","State and Local","1,449"
"2007","Georgia","Government Organization","Total Federal, state, and local government units","State and Local","1,440"
"2012","Georgia","Government Organization","Total Federal, state, and local government units","State and Local","1,379"
"2017","Georgia","Government Organization","Total Federal, state, and local government units","State and Local","1,381"
"2022","Georgia","Government Organization","Total Federal, state, and local government units","State and Local","1,380"
"1942","Hawaii","Government Organization","Total Federal, state, and local government units","State and Local","X"
"1952","Hawaii","Government Organization","Total Federal, state, and local government units","State and Local","15"
"1957","Hawaii","Government Organization","Total Federal, state, and local government units","State and Local","22"
"1962","Hawaii","Government Organization","Total Federal, state, and local government units","State and Local","21"
"1967","Hawaii","Government Organization","Total Federal, state, and local government units","State and Local","20"
"1972","Hawaii","Government Organization","Total Federal, state, and local government units","State and Local","20"
"1977","Hawaii","Government Organization","Total Federal, state, and local government units","State and Local","20"
"1982","Hawaii","Government Organization","Total Federal, state, and local government units","State and Local","19"
"1987","Hawaii","Government Organization","Total Federal, state, and local government units","State and Local","19"
"1992","Hawaii","Government Organization","Total Federal, state, and local government units","State and Local","21"
"1997","Hawaii","Government Organization","Total Federal, state, and local government units","State and Local","20"
"2002","Hawaii","Government Organization","Total Federal, state, and local government units","State and Local","20"
"2007","Hawaii","Government Organization","Total Federal, state, and local government units","State and Local","20"
"2012","Hawaii","Government Organization","Total Federal, state, and local government units","State and Local","22"
"2017","Hawaii","Government Organization","Total Federal, state, and local government units","State and Local","22"
"2022","Hawaii","Government Organization","Total Federal, state, and local government units","State and Local","22"
"1942","Idaho","Government Organization","Total Federal, state, and local government units","State and Local","1,666"
"1952","Idaho","Government Organization","Total Federal, state, and local government units","State and Local","938"
"1957","Idaho","Government Organization","Total Federal, state, and local government units","State and Local","843"
"1962","Idaho","Government Organization","Total Federal, state, and local government units","State and Local","835"
"1967","Idaho","Government Organization","Total Federal, state, and local government units","State and Local","872"
"1972","Idaho","Government Organization","Total Federal, state, and local government units","State and Local","902"
"1977","Idaho","Government Organization","Total Federal, state, and local government units","State and Local","973"
"1982","Idaho","Government Organization","Total Federal, state, and local government units","State and Local","1,019"
"1987","Idaho","Government Organization","Total Federal, state, and local government units","State and Local","1,066"
"1992","Idaho","Government Organization","Total Federal, state, and local government units","State and Local","1,087"
"1997","Idaho","Government Organization","Total Federal, state, and local government units","State and Local","1,148"
"2002","Idaho","Government Organization","Total Federal, state, and local government units","State and Local","1,159"
"2007","Idaho","Government Organization","Total Federal, state, and local government units","State and Local","1,241"
"2012","Idaho","Government Organization","Total Federal, state, and local government units","State and Local","1,169"
"2017","Idaho","Government Organization","Total Federal, state, and local government units","State and Local","1,171"
"2022","Idaho","Government Organization","Total Federal, state, and local government units","State and Local","1,169"
"1942","Illinois","Government Organization","Total Federal, state, and local government units","State and Local","15,854"
"1952","Illinois","Government Organization","Total Federal, state, and local government units","State and Local","7,723"
"1957","Illinois","Government Organization","Total Federal, state, and local government units","State and Local","6,510"
"1962","Illinois","Government Organization","Total Federal, state, and local government units","State and Local","6,453"
"1967","Illinois","Government Organization","Total Federal, state, and local government units","State and Local","6,454"
"1972","Illinois","Government Organization","Total Federal, state, and local government units","State and Local","6,386"
"1977","Illinois","Government Organization","Total Federal, state, and local government units","State and Local","6,621"
"1982","Illinois","Government Organization","Total Federal, state, and local government units","State and Local","6,468"
"1987","Illinois","Government Organization","Total Federal, state, and local government units","State and Local","6,628"
"1992","Illinois","Government Organization","Total Federal, state, and local government units","State and Local","6,723"
"1997","Illinois","Government Organization","Total Federal, state, and local government units","State and Local","6,836"
"2002","Illinois","Government Organization","Total Federal, state, and local government units","State and Local","6,904"
"2007","Illinois","Government Organization","Total Federal, state, and local government units","State and Local","6,995"
"2012","Illinois","Government Organization","Total Federal, state, and local government units","State and Local","6,964"
"2017","Illinois","Government Organization","Total Federal, state, and local government units","State and Local","6,919"
"2022","Illinois","Government Organization","Total Federal, state, and local government units","State and Local","6,931"
"1942","Indiana","Government Organization","Total Federal, state, and local government units","State and Local","3,043"
"1952","Indiana","Government Organization","Total Federal, state, and local government units","State and Local","3,050"
"1957","Indiana","Government Organization","Total Federal, state, and local government units","State and Local","2,989"
"1962","Indiana","Government Organization","Total Federal, state, and local government units","State and Local","3,092"
"1967","Indiana","Government Organization","Total Federal, state, and local government units","State and Local","2,670"
"1972","Indiana","Government Organization","Total Federal, state, and local government units","State and Local","2,793"
"1977","Indiana","Government Organization","Total Federal, state, and local government units","State and Local","2,855"
"1982","Indiana","Government Organization","Total Federal, state, and local government units","State and Local","2,866"
"1987","Indiana","Government Organization","Total Federal, state, and local government units","State and Local","2,807"
"1992","Indiana","Government Organization","Total Federal, state, and local government units","State and Local","2,899"
"1997","Indiana","Government Organization","Total Federal, state, and local government units","State and Local","3,199"
"2002","Indiana","Government Organization","Total Federal, state, and local government units","State and Local","3,086"
"2007","Indiana","Government Organization","Total Federal, state, and local government units","State and Local","3,232"
"2012","Indiana","Government Organization","Total Federal, state, and local government units","State and Local","2,710"
"2017","Indiana","Government Organization","Total Federal, state, and local government units","State and Local","2,639"
"2022","Indiana","Government Organization","Total Federal, state, and local government units","State and Local","2,649"
"1942","Iowa","Government Organization","Total Federal, state, and local government units","State and Local","7,519"
"1952","Iowa","Government Organization","Total Federal, state, and local government units","State and Local","5,857"
"1957","Iowa","Government Organization","Total Federal, state, and local government units","State and Local","4,906"
"1962","Iowa","Government Organization","Total Federal, state, and local government units","State and Local","2,643"
"1967","Iowa","Government Organization","Total Federal, state, and local government units","State and Local","1,803"
"1972","Iowa","Government Organization","Total Federal, state, and local government units","State and Local","1,819"
"1977","Iowa","Government Organization","Total Federal, state, and local government units","State and Local","1,853"
"1982","Iowa","Government Organization","Total Federal, state, and local government units","State and Local","1,872"
"1987","Iowa","Government Organization","Total Federal, state, and local government units","State and Local","1,878"
"1992","Iowa","Government Organization","Total Federal, state, and local government units","State and Local","1,881"
"1997","Iowa","Government Organization","Total Federal, state, and local government units","State and Local","1,877"
"2002","Iowa","Government Organization","Total Federal, state, and local government units","State and Local","1,976"
"2007","Iowa","Government Organization","Total Federal, state, and local government units","State and Local","1,955"
"2012","Iowa","Government Organization","Total Federal, state, and local government units","State and Local","1,948"
"2017","Iowa","Government Organization","Total Federal, state, and local government units","State and Local","1,942"
"2022","Iowa","Government Organization","Total Federal, state, and local government units","State and Local","1,827"
"1942","Kansas","Government Organization","Total Federal, state, and local government units","State and Local","11,115"
"1952","Kansas","Government Organization","Total Federal, state, and local government units","State and Local","6,933"
"1957","Kansas","Government Organization","Total Federal, state, and local government units","State and Local","6,214"
"1962","Kansas","Government Organization","Total Federal, state, and local government units","State and Local","5,411"
"1967","Kansas","Government Organization","Total Federal, state, and local government units","State and Local","3,669"
"1972","Kansas","Government Organization","Total Federal, state, and local government units","State and Local","3,716"
"1977","Kansas","Government Organization","Total Federal, state, and local government units","State and Local","3,726"
"1982","Kansas","Government Organization","Total Federal, state, and local government units","State and Local","3,796"
"1987","Kansas","Government Organization","Total Federal, state, and local government units","State and Local","3,804"
"1992","Kansas","Government Organization","Total Federal, state, and local government units","State and Local","3,892"
"1997","Kansas","Government Organization","Total Federal, state, and local government units","State and Local","3,951"
"2002","Kansas","Government Organization","Total Federal, state, and local government units","State and Local","3,888"
"2007","Kansas","Government Organization","Total Federal, state, and local government units","State and Local","3,932"
"2012","Kansas","Government Organization","Total Federal, state, and local government units","State and Local","3,827"
"2017","Kansas","Government Organization","Total Federal, state, and local government units","State and Local","3,793"
"2022","Kansas","Government Organization","Total Federal, state, and local government units","State and Local","3,769"
"1942","Kentucky","Government Organization","Total Federal, state, and local government units","State and Local","771"
"1952","Kentucky","Government Organization","Total Federal, state, and local government units","State and Local","796"
"1957","Kentucky","Government Organization","Total Federal, state, and local government units","State and Local","822"
"1962","Kentucky","Government Organization","Total Federal, state, and local government units","State and Local","873"
"1967","Kentucky","Government Organization","Total Federal, state, and local government units","State and Local","953"
"1972","Kentucky","Government Organization","Total Federal, state, and local government units","State and Local","1,136"
"1977","Kentucky","Government Organization","Total Federal, state, and local government units","State and Local","1,184"
"1982","Kentucky","Government Organization","Total Federal, state, and local government units","State and Local","1,242"
"1987","Kentucky","Government Organization","Total Federal, state, and local government units","State and Local","1,304"
"1992","Kentucky","Government Organization","Total Federal, state, and local government units","State and Local","1,321"
"1997","Kentucky","Government Organization","Total Federal, state, and local government units","State and Local","1,367"
"2002","Kentucky","Government Organization","Total Federal, state, and local government units","State and Local","1,440"
"2007","Kentucky","Government Organization","Total Federal, state, and local government units","State and Local","1,347"
"2012","Kentucky","Government Organization","Total Federal, state, and local government units","State and Local","1,339"
"2017","Kentucky","Government Organization","Total Federal, state, and local government units","State and Local","1,323"
"2022","Kentucky","Government Organization","Total Federal, state, and local government units","State and Local","1,308"
"1942","Louisiana","Government Organization","Total Federal, state, and local government units","State and Local","523"
"1952","Louisiana","Government Organization","Total Federal, state, and local government units","State and Local","489"
"1957","Louisiana","Government Organization","Total Federal, state, and local government units","State and Local","584"
"1962","Louisiana","Government Organization","Total Federal, state, and local government units","State and Local","629"
